iter	Passed	Remaining
0	1	100
1	2	103
2	2	96
3	3	85
4	4	80
5	4	77
6	5	74
7	6	72
8	6	69
9	7	67
10	8	66
11	8	64
12	10	67
13	10	66
14	11	65
15	12	64
16	13	63
17	14	65
18	15	66
19	16	66
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	20	58
26	21	57
27	22	56
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	28
62	48	28
63	48	27
64	49	26
65	50	25
66	50	24
67	51	24
68	51	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
